name,benefits
KB국민 굿데이카드,"[{'benefit_name': '주유', 'benefit_detail': '주유소 및 충전소 리터당 60원 할인'}, {'benefit_name': '통신', 'benefit_detail': '전화·인터넷·케이블TV 10% 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철, 택시 10% 할인'}, {'benefit_name': '외식', 'benefit_detail': '음식점, 레스토랑, 주점 10% 할인'}, {'benefit_name': '의료', 'benefit_detail': '약국 업종 이용시 10% 할인'}, {'benefit_name': '교육', 'benefit_detail': '학원부터 독서실 업종까지 10% 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스,커피빈 등 카페 10% 할인'}, {'benefit_name': '편의점', 'benefit_detail': 'CU, GS25 등 편의점 10%할인'}, {'benefit_name': '레저', 'benefit_detail': '종합스포츠센터, 헬스장 10% 할인'}]"
삼성카드 taptap O,"[{'benefit_name': '연회비지원', 'benefit_detail': '행사 응모필수!온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '월 최대 3만원, 연간 36만원 할인쇼핑 1% 빅포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피 연 최대 12만원 할인스타벅스 50% 또는 카페 30%할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '쿠팡·11번가 등 연최대 6만원할인쇼핑 7% 할인 또는 1% 적립해외 1.3% 빅포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신요금 10% 결제일할인'}, {'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철, 택시요금 10% 할인'}, {'benefit_name': '영화', 'benefit_detail': '영화 연 최대 6만원 할인CGV·롯데시네마 5,000원 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 7%할인 또는 1%적립'}]"
삼성 iD SIMPLE 카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '행사 응모필수!온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '언제나할인', 'benefit_detail': '국내외 가맹점 최대 1%할인'}, {'benefit_name': '영화', 'benefit_detail': '영화 3,000원 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리업종 0.7 · 1%할인'}, {'benefit_name': '외식', 'benefit_detail': '외식업종 0.7 · 1%할인'}, {'benefit_name': '주유', 'benefit_detail': '주유 업종 0.7 · 1%할인'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 0.7 · 1%할인'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 업종 0.7 · 1%할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 업종 0.7 · 1%할인'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 0.7 · 1%할인'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 0.7 · 1%할인'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 0.7 · 1%할인'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 0.7 · 1%할인'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 0.7 · 1%할인'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 0.7 · 1%할인'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 0.7 · 1%할인'}, {'benefit_name': '반려동물', 'benefit_detail': '반려동물 업종 0.7 · 1%할인'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 0.7 · 1%할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰 멤버십 50%할인'}]"
현대카드M,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '국내외 가맹점 1.5% M포인트 적립해외 가맹점 5% M포인트 적립M 긴급적립(선지급 포인트 서비스)'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인 쇼핑몰  5% M포인트 적립쇼핑 업종 1.5% M포인트 적립'}, {'benefit_name': '외식', 'benefit_detail': '일반음식점  5% M포인트 적립외식 업종 1.5% M포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 1.5% M포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 1.5% M포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 1.5% M포인트 적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 1.5% M포인트 적립'}, {'benefit_name': '주유', 'benefit_detail': '주유소 1.5% M포인트 적립'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 1.5% M포인트 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 1.5% M포인트 적립'}, {'benefit_name': '영화', 'benefit_detail': '영화관 1.5% M포인트 적립'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 1.5% M포인트 적립'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 1.5% M포인트 적립'}, {'benefit_name': '문화', 'benefit_detail': '도서/공연 1.5% M포인트 적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 1.5% M포인트 적립'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 1.5% M포인트 적립'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 1.5% M포인트 적립'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 1.5% M포인트 적립'}, {'benefit_name': '반려동물', 'benefit_detail': '동물병원  1.5% M포인트 적립'}]"
현대카드ZERO Edition3(할인형),"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '언제나할인', 'benefit_detail': '국내외 가맹점 0.8% 청구 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 이용금액 0.8% 청구할인'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 이용금액 0.8% 청구할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 이용금액의 0.8% 청구할인'}, {'benefit_name': '통신', 'benefit_detail': '통신 이용금액 0.8% 청구할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 이용금액0.8%청구할인'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 이용금액 0.8% 청구할인'}, {'benefit_name': '주유', 'benefit_detail': '주유소 이용금액 0.8% 청구할인'}, {'benefit_name': '외식', 'benefit_detail': '외식업종 이용금액 0.8% 청구할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 이용금액 0.8% 청구할인'}, {'benefit_name': '영화', 'benefit_detail': '영화관 이용금액 0.8% 청구할인'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 이용금액 0.8% 청구할인'}, {'benefit_name': '레저', 'benefit_detail': '레저 이용금액 0.8% 청구할인'}, {'benefit_name': '문화', 'benefit_detail': '도서문화 이용금액 0.8% 청구할인'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 이용금액 0.8% 청구할인'}, {'benefit_name': '오토', 'benefit_detail': '오토 이용금액 0.8% 청구할인'}, {'benefit_name': '교육', 'benefit_detail': '교육 이용금액 0.8% 청구할인'}, {'benefit_name': '육아', 'benefit_detail': '육아 이용금액 0.8% 청구할인'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 이용금액 0.8% 청구할인'}, {'benefit_name': '반려동물', 'benefit_detail': '동물병원 이용금액 0.8% 청구할인'}, {'benefit_name': '금융', 'benefit_detail': '금융 이용금액 0.8% 청구할인'}, {'benefit_name': '하이패스', 'benefit_detail': '후불하이패스 발급 가능'}]"
KB국민 청춘대로 톡톡카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인신규신청 연회비 100% 캐시백홈페이지 내 신용카드 최초 발급 시'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스 최대60% 할인간편결제 이용 시,카페/베이커리 10%할인'}, {'benefit_name': '외식', 'benefit_detail': '버거/패스트푸드 최대 30% 할인!간편결제 이용시, 외식업종 10%할인'}, {'benefit_name': '통신', 'benefit_detail': '3대 통신사 통신요금 10% 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철, 택시 10% 할인'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 이용 시 10%할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '간편결제 이용시, 쇼핑업종 10%할인'}, {'benefit_name': '영화', 'benefit_detail': '간편결제 이용시, 영화관 10% 할인'}, {'benefit_name': '편의점', 'benefit_detail': '간편결제 이용시, 편의점 10% 할인'}, {'benefit_name': '주유', 'benefit_detail': '간편결제 이용시, 주유소 10% 할인'}, {'benefit_name': '대형마트', 'benefit_detail': '간편결제 이용시, 대형마트 10%할인'}, {'benefit_name': '레저', 'benefit_detail': '간편결제 이용시, 놀이공원 10%할인'}, {'benefit_name': '문화', 'benefit_detail': '간편결제 이용시, 문화업종 10%할인'}, {'benefit_name': '뷰티', 'benefit_detail': '간편결제 이용시  뷰티업종 10%할인'}]"
디지로카 London,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '실적·한도 없이 최대 1.7% 캐시백'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 최대 1.7% 캐시백'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 최대 1.7% 캐시백'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 최대 1.7% 캐시백'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 최대 1.7% 캐시백'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 최대 1.7% 캐시백'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 최대 1.7% 캐시백'}, {'benefit_name': '영화', 'benefit_detail': '영화 최대 1.7% 캐시백'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 최대 1.7% 캐시백'}, {'benefit_name': '외식', 'benefit_detail': '외식 관련 업종 최대 1.7% 캐시백'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페·베이커리 최대 1.7% 캐시백'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 업종 최대 1.7% 캐시백'}, {'benefit_name': '육아', 'benefit_detail': '영·유아 업종 최대 1.7% 캐시백'}, {'benefit_name': '통신', 'benefit_detail': '통신비 최대 1.7% 캐시백'}, {'benefit_name': '교육', 'benefit_detail': '교육비 최대 1.7% 캐시백'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 최대 1.7% 캐시백'}, {'benefit_name': '오토', 'benefit_detail': '오토 관련 업종 최대 1.7% 캐시백'}, {'benefit_name': '주유', 'benefit_detail': '주유비 최대 1.7% 캐시백'}, {'benefit_name': '납부 혜택', 'benefit_detail': '이용 금액에 따라 최대 6개월 나누기추가 수수료 없는 납부 혜택!'}]"
KB국민 굿데이올림카드,"[{'benefit_name': '교육', 'benefit_detail': '10% 청구할인학원 업종 및 독서실 업종 이용 시'}, {'benefit_name': '주유', 'benefit_detail': '주유가맹점에서 리터당 60원 청구할인SK, GS칼텍스 등'}, {'benefit_name': '통신', 'benefit_detail': '10% 청구할인전화요금,인터넷,케이블TV 업종에서'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트에서 10% 청구할인이마트,롯데마트,홈플러스 등'}, {'benefit_name': '외식', 'benefit_detail': '외식업종 이용 시 10% 할인음식점,레스토랑,주점,휴게음식점 등'}, {'benefit_name': '대중교통', 'benefit_detail': '10% 청구할인대중교통(버스,지하철), 택시 이용시'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 이용 시 10% 청구할인스타벅스,커피빈 등'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 이용 시 10% 청구할인CU,GS25,미니스톱등'}, {'benefit_name': '의료', 'benefit_detail': '10% 청구할인모든 약국 업종 이용 시'}, {'benefit_name': '레저', 'benefit_detail': '10% 청구할인종합스포츠센터 업종 이용 시 '}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '해외이용(해외직구)금액 5%할인캐시백'}]"
삼성 iD ON 카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '행사 응모필수!온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '대중교통', 'benefit_detail': '교통 10% 결제일할인'}, {'benefit_name': '외식', 'benefit_detail': '커피전문점·배달앱·델리 중많이 쓰는 영역 30% 자동맞춤 할인'}, {'benefit_name': '간편결제', 'benefit_detail': '온라인 간편결제 3% · 1% 결제일할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점·배달앱·델리 중많이 쓰는 영역 30% 자동맞춤 할인'}, {'benefit_name': '문화', 'benefit_detail': '스트리밍 10% 결제일할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신 10% 결제일할인'}]"
KB국민 My WE:SH 카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인신규신청 연회비 100% 캐시백홈페이지 내 신용카드 최초 발급 시'}, {'benefit_name': '간편결제', 'benefit_detail': 'KB Pay 10% 할인'}, {'benefit_name': '편의점', 'benefit_detail': 'GS25, CU 최대 20% 할인'}, {'benefit_name': '외식', 'benefit_detail': '패밀리레스토랑등 음식점 최대20%할인배달의민족등 배달앱 최대 15% 할인'}, {'benefit_name': '통신', 'benefit_detail': 'SKT,KT,LGU+등 10% 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '택시 5% 할인'}, {'benefit_name': '문화', 'benefit_detail': '넷플릭스, 티빙 등 OTT 30%할인교보문고등 온라인서점 최대15% 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 최대 15% 할인'}, {'benefit_name': '레저', 'benefit_detail': '종합스포츠센터,골프장등 최대15%할인'}, {'benefit_name': '뷰티', 'benefit_detail': '미용실 최대 15% 할인'}, {'benefit_name': '영화', 'benefit_detail': 'CGV등 영화관 최대 40% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '마켓컬리 최대 15% 할인올리브영 최대 15% 할인'}]"
