name,description,parsed_desc,annual_fee,tag_info,rewards,apply_link,image_url,detail_url
KB국민 굿데이카드,통신·교통·외식 등 생활영역10%할인,"['교통', '통신', '음식', '할인 및 적립']","국내 5천원, 해외 1만원",정보 없음,정보 없음,https://tivan.naver.com/cac/SNZM1uDFp6jEzrooAv7QnltBbLFrXEvq3-TivObMLlp4odPY1mZRd1zIUfB5Zlh5lTcqz9sQa66x9uSLcxv5b_hL7C8Q2GwdRmVtkGwkNPTUJ-H94DmdNG4L_5u8THxxrBS0dtUhTyBPaYsyjTD59XLqkRCW5liFNJtJlav9z8Tt5Ol71ZYMqzksEJm__a1KkhvIhpIytpKuw9IJB4Pz5Wownpeht7Xjg-6jX8_ixyEb822_rio19yuPZnWECG12CnGJf247lWl8wKEcxXz_rTrVJbuPwuHr_QQOEg5dGz5EcO4B6nuYEK_QYs0ejKKG2vQBOZKg2XMfAWOI0qarlAHDx4ReOapMhB9xP-6oPMT7aWlbMHrhwV8A3TYY-aKy?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/115/KB_115_20230125-142026_hor.png,https://card-search.naver.com/item?cardAdId=115
삼성카드 taptap O,스타벅스50% 교통10% 쇼핑7%할인,"['음식', '교통', '쇼핑']","국내 1만원, 해외 1만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/ZsiQNkVIkyEU32zDXT3whdsAN2mjUYtX4Nx2Gz5SPcTWDLN5skvhQJpoIDoUOQzvrrmdAzCReEXx7d72iRlYcwXiE0inN_dPd8aqfl3ujLI1mjyHYgmoURClBjrCHyxn2WOkw5W0VAK1rcOXxql0l-lKkPGeJSXjWWAsk3z1_kg-lGG2qfTQ5XMSRPdUphzFlKbPqWp6Yy6YkOJjMLj78Swfw6BS4rxVwxP2WFlTKxb5xCXGzDN_csb6cqCo6R6BYTkuD9cZUIv_a8pWlOsylNQC1c3AabX7s4IWl7xBl5SJhxwmuP50yJXBmY1ioD2UOAiW2WmnwptkxPp-05PrC9xtdM_lK2b6NTLJu-hddCVH4uXK1RQtSCm-xLX1gBVRcqctCSyJ7EVuBVQIhCfaSuPQ7kpXRDabyZ_wtVdnrV8W70HOQRnSQABILeuyA6VXriux6aGLS4H7l9vBMwNIJQ==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SS/1530/SS_1530_20241101-100614_ver.png,https://card-search.naver.com/item?cardAdId=1530
삼성 iD SIMPLE 카드,전월실적할인한도없이 0.7%·1%할인,['할인 및 적립'],"국내 7천원, 해외 7천원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/0O2KZIUR_ZmRrZFKfVNAK9BZHyiELsNG4BfZWBGZkNjI7kDROJCJZKlvgtZCHHsnD6u2EifNK7GusXmC5A5NuEN-25GQ6-Fdfdg-M5ViQ8jxVujFFCiQOpVkaskDoT6saOr0n1zZ844GQq3UwW5b4zxsaAaVvQgjdJlDI-sTpS3JloV-nNRr_huRINJKuxMXOPSTkQ170-ZygJIyeY6IuGsdy6j81lxqhcaKC3ZsqQoveqehTwRFdnvKt-3MMr-5UEko3rMaVPcK9TSQ0hss0pstTFbi5ff_ig_fm7SlYpK0QHf0rQDt3cPCbJNs7nMUUxVzvFJ6pU2zy1BotHyvw9Sv8_9ZRxksoJrxklF6aO2kMj5swCsMW8k9DHmbF1Xh4MEiMBJsRdNaAcqMB6c2DQ8tRsE_DNcjDSyNnO2ZMA0TgpSQJPomzDv310tVHHALZ-_VPvGYDV38gVjA_a9lzw==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10157/SS_10157_20230103-181148_ver.png,https://card-search.naver.com/item?cardAdId=10157
현대카드M,최대 50만 M 긴급적립 가능,['할인 및 적립'],"국내 3만원, 해외 3만원",신규 회원 최대 3만원 지급,정보 없음,https://tivan.naver.com/cac/1G-bVGIHFV7I37cBQNygk2FSmWS51iohsNGuaiHUVl5-Xag6ipnM2_T1cDbIvJSquxNscRPx_kPS1LKJ4AYWJWaOy0E6-p6akohnJqP2Hc88oqYaU_YzrGB329h5lCMPSROMUm6CrQbr7dU97TbZRkik8kI0rRaisaw3i_vjTdr4SEOWMP4yTmAEewDTI1Ph7M163cbC_2kzQAAAmMAWjH2_hl0hHVisxKGfP0nHpWkrrHmVAEXUwo37OntMYyyJUVQNpsbn5WwG03Heqpka5LwvguIIn1kfPNNvF7OnpiKQOmm6b178SStKg3JjmvXLM6UGX4h9PDUr7EfS5c1nSA==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/HD/10334/HD_10334_20250212-112319_ver.png,https://card-search.naver.com/item?cardAdId=10334
현대카드ZERO Edition3(할인형),Apple Pay 간편결제,['기타'],"국내 1만5천원, 해외 1만5천원",신규 회원 최대 1만5천원 지급,정보 없음,https://tivan.naver.com/cac/1G-bVGIHFV7I37cBQNygk2FSmWS51iohsNGuaiHUVl6grQ4LvofycLA3uBAGnTfkTaaFq2Sv22GdWyXs4Zc4gWaOy0E6-p6akohnJqP2Hc88oqYaU_YzrGB329h5lCMPSROMUm6CrQbr7dU97TbZRuoKEqMFc_MH3xv08sssHXDk1dnDgBMJNxArpdwXXYXfApVyN0OwiGWaFyOxZbFLqWOLPgWpYm4pRwPcKntDlJDk6xCLiPBfFcMe67vAu-itO5tG6C8E5NA9F1uzhvxm3fB5CgigKI4VKAo3HN-pqV_R3Em2V3iv9aQ527i42qe3ky67ZflSbvu_YDvcl3g61OaXb1iIf2tjDz2BTU7V2fk=?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/HD/10322/HD_10322_20250212-112347_ver.png,https://card-search.naver.com/item?cardAdId=10322
KB국민 청춘대로 톡톡카드,스타벅스 최대 60%할인은 기본,"['음식', '할인 및 적립']","국내 1만원, 해외 1만2천원",신규 회원 최대 1만2천원 지급,정보 없음,https://tivan.naver.com/cac/q7jUweEMJM-Alul_K7rThFfQcdo48Ys9I7lu_txbPYMTMBRYUDZ4qtOdr9b2JDKmghds9eMvXKZltULxCzMp0WBUV5PgW3ZoXAUH3GyouI11FFomrW-31-Br7Gh0fHgaG5sLGgOZA2s_8Bcc92IWq2JzgsaOuuLLTOe7dMBK2f20Hhp0RKeVYjHuaXsvSZ5o7EOlbP8ouV0UAY1JP4Y5e6PW0nTSZopMUiLzSBhIFLF4DjaTywfzoX9PKTVvQKI8UtRamzZBcK5Rat23hJyiUteNSJQUDj76RoEaA1NOCjyE9hgFa_-WvgwZvj8ikXyG6MPxDoL3zw460NX-h-lR9jvyg0jeKEM9LPuYSzQcBk53OalL_QqFqDx1FV1WdCmz?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1692/KB_1692_20230125-142003_hor.png,https://card-search.naver.com/item?cardAdId=1692
디지로카 London,국내 모든 가맹점 최대 1.7%캐시백,['기타'],"국내 2만원, 해외 2만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/uXqEMX2jRcJgEMa1hnpseQHtP1mGg8WtsWdlFpARA3fOXSdOWJf1GImCsSwVR6Ti5NW3kCbywYqChVklJSGwsuStShcJUvahym4i8fkuCSWL82IkoxRes73GxLz_LBKymK6d51Fsf2ia3WSpCh2MSeMyvv4L_DCIamF7saqrAcPYblW4Oisuz2ANXP4yIjIGu0mZNv_ycJTewgYRwbpOmr7wccGdhxJhxO9MbrGXxbe7lTCRqEhsjO8gLEcCli7xBsA3JxyRiNwo8dN3N5y19vggbURe1eHo5A9HXzqG0cthhaDeKY4DfQShDWhLFpI3gIi7orBBxC70r1pNU4ER7FY1yfovO57BYIqZ_3KA9X_1bQjm8I8k5QbUbmiSrmtP89RUHaTrVxYeuX_dCaKZmA==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10304/LO_10304_20231114-020043_ver.png,https://card-search.naver.com/item?cardAdId=10304
KB국민 굿데이올림카드,연회비 만오천원에 연최대94만8천원!,['기타'],"국내 1만5천원, 해외 2만원",정보 없음,정보 없음,https://tivan.naver.com/cac/dUybuuUw1dHfz7CXsOmN6mmYPtDGO5QDcbsstHzkr8FXoakIesWG3V609QZK_9ukIsptrKOV3iJuNiUvPuhshDg4UaC3MDwvJ50N5dh1YKBHg4SRKf8yfJg4RpoiOWQx6rXMH8L0SNRkk7X9ajhYznawqKxsWj7YhcDBH10C9x-m1o9uSRhIz9f-T77-mGM6XTIY4qTZ1DjQfCgMm4WohI9SzqekUlTTqjZAq9aygSWyBj0JChTO4zJJHCJ3au-rTDZuqhYk-E2Dog7-lH6JpNXx4sduwMwlmdHCS2t00pWZFvnb0IpvC1_eKeGQWc4czATelKUYXGP9sUoR4TxYuMMXkSmINFEqS8L5acljkdolo0opJyr4Lc9Xd0nki44r?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1294/KB_1294_20230308-153427_hor.png,https://card-search.naver.com/item?cardAdId=1294
삼성 iD ON 카드,연 최대 48만원 할인!,['할인 및 적립'],"국내 2만원, 해외 2만원",신규 회원 최대 2만원 지급,정보 없음,https://tivan.naver.com/cac/vTFrUrXzmTQMKRmBkofre7ZwFG_mkB1WImnHcGQs9jVOofyR4n6WGMTonv1YoVSKX1x_EvrfBc4ctzkKxPbN9WDIVy9BD12nGs0C5s0BswUHMvlp25ky1KTOoeGa_H7LkOvNvMQcrOyZYEAkm-v3QzebPVUnvL9l20HWo5Ab1n6azQrRkaaPyJ_zisaQTbP2EYMRhxAH3o2ssU-8lfBL5kK57__ZH4y4wTUSH8pv9fwEowaJ41SU23jVEnXZf-kXw7nJQKoadlwsDQdCaBCLpmII8m2umxZTrPImsoG5_6vdLcV5S2NxLmrewOfPKxq2bEzB1WKsYUEUSeKS-2jnrsgUqw5hAreXKlJvZIz0asPgrc0vO1NxfgWKA0mO5opfIpvrU2Sciy22p9mNZ363fYCv9gmg_56w3rzz6nG3Z_XqZnPZNFn3hPqfs8pZm88j?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10102/SS_10102_20230217-102927_ver.png,https://card-search.naver.com/item?cardAdId=10102
KB국민 My WE:SH 카드,"음식점최대20%, OTT30% 할인",['음식'],"국내 1만5천원, 해외 1만5천원",신규 회원 최대 1만5천원 지급,정보 없음,https://tivan.naver.com/cac/8_K5vAU1xjMoWDtSrp5h3bC-W77YUZvw66T3_mdrnxMhOX8jmFx2foM5qxhSSyYDFRHmegT-dlEYY5Q3ZQriFpmgIGcJ7ofptqyvTcEU6Pdysm5l0rW0I39uJJnoS8mX3PlIVRRYhz7cNy3fIBXsAkYkGeW1PVHWo7DmCegIaQcVKqopWqzPkQbtizUszGOFF3pixgb9zF-5ApvmwF9WeaBplu2jZERw_PHxNIWSBj77e3NSB2Qf0MZi0x4Yrho6xVft7423QvFNQFnaapSprhRZPNUAtdjxoKt1_ngCezePpDB6LSj2CY9qmvxF4Usezeh_g0KeVSspmemBOEQtUZ3yfVxWYtUBOtSQ3yy1KsaesW_C6qSPX6Y4c1xJOuHo?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/10216/KB_10216_20240314-135529_hor.png,https://card-search.naver.com/item?cardAdId=10216
taptap DRIVE,모든주유소 리터당 최대 150원 할인,"['주유', '할인 및 적립']","국내 1만원, 해외 1만원",정보 없음,정보 없음,https://tivan.naver.com/cac/zsyQCFcpn7nHZ94002DoNhz-NJjdSPLsuH4_HVpBf4xRwKymA9fw-ZMnU2S4Uqre-wj7FE4cd4yU5LxPqJZZqyupEOmFo4dBG1SVAZID8THrmBe3WMe1shQ4a-QQpKotypOO3LpAEO4VkJhUHPdB7iT3HIB65CPZ9jKnLrjaCaKSEnYAWf-o372AClrZe6Mv6X8DRjJHrfgn6xmwMG-IyOkD6upwP1ZqN4azB9EXOeF4fAqZWAiTwCWWH1ptyl0kxsDhT5Js5Hxh9DOVsmnmmbQ5Xcsavxqa-oOiSFJBotGJJJRUaFDg-CXdiH-d8hnuJpc0C8ltgLGBRog6KlttYo9GdFUAu8__la1v1A00aMXb2gV_CgH2LSw9GIy2eA-n_9IcezhEEtnWVUPg3YudmTvHFE6pTRQLONsd9wNFDvM=?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SS/3881/SS_3881_20221229-141914_hor.png,https://card-search.naver.com/item?cardAdId=3881
LOCA 365,"관리비, 공과금 10% 할인!",['할인 및 적립'],"국내 2만원, 해외 2만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/SP1FXb1IQT-B-YwNwVJq7ZVEMbEz_D6GC-S4el3Uz8ILeOZwSBbllMm_c9JVAZDZjQi-upIBng9I_5lglfh5yDtmlQd8urrB4Sz9P-kj1uyaZ3udxR7Pf7rtrCsoWa_7llM5hmKgwPuLUfLtseZFymhlHiXezVpVjUdThxyFBZl3ixbw0M40Xqwg1apPJYVY7UzJ9QvRuChmjLZuk8GW2mO3rUlR5r55tM5VAQ0fpCLMhPJ0lqEgPpfFjoo2xhZeIg1VxACJKXTEKdBTh_S0dNCFfRT3bFCbysKDjUCI0RlwqTkSgGMfa__1yET-Sf6LQPluEdZJ2EemcBJ_PDf32J2F7VhTfQo9Oof_P9N2t4M8sPEfYC1MQ9fbMLJJAjYvP9W000tM-2j--Fqp9DS-J_G4i5hgSMNCLCh4i4cjqpE=?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10141/LO_10141_20220401-175950_hor.png,https://card-search.naver.com/item?cardAdId=10141
삼성 iD GLOBAL 카드,전월실적관계없이해외2%국내0.5%할인,['할인 및 적립'],"국내 2만원, 해외 2만원",정보 없음,정보 없음,https://tivan.naver.com/cac/oFm0jH_EkLY9meu8R82YzjbjnNcw6ao3XhJZErvnoqLXdG6FExIDIt8xC5-7Pxr00mj-wigpUbi7ljYGe0wYdnwCjKH8jaTXDqbxpJFafS-W1DkIEW-kA9Z6JpV2wZ0D6hX3IYejAyFsAKkdpKk_KFJsKQmWy_fXt1y7CvGoBtUmPVbrouta150bfChGW8ZH7YNrkFyc2gCauWzcIVEo45Q2hhxwmBNOgoDpGqxEEpuq9L-6iP2Ey2KmhbBOO9PTAuhVnr2Due44bAIDF924FWzfs3zSriX_5iGJjo9abGuMlhPtBwHdTwZxWRLd892TtL7nWu2co_YO7jYh22ajm3lR5Rsa-oy3q9WpDbTtW81MTrvT5ZUq3ZzIQZyHO-0ZU9siFmW8wbIFtee_sO4bfbsYsW6wIK-ii4tRH36IjKhyb8xATz94f62flNEX7rI8isPG99gswdj63EhupuCibA==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10343/SS_10343_20240329-110153_ver.png,https://card-search.naver.com/item?cardAdId=10343
신한카드 Mr.Life,공과금부터 쇼핑까지 생활혜택 10%,['쇼핑'],"국내 1만5천원, 해외 1만8천원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/4qOsYmzo90Ba9dDxRbIf17AdGxgmhmKu57N09Jn-NUx08MIAh-skKX5a-fFwi4ah_gp-bvsUNS48pdh4MXUAphBOX1x_09KUX-7zsi10QMCPKAydOQATtKeLKicPcFHZOFvReE0BReCpuFPuexJ9kfSgqhMdJzC_IqMTYqxKKe5UDDkO4f6cyxzr9E_w8rDAAVyMJ6ZkV31ixGQDNDyv0IsBzE5Futa8olPkcsXGsFo4VesNt4sh06Rwg_JAEYt4D4Qm1Qnl2or3N5K35XwoNisl1yN2Iui7cu6sFlyzZEYlB-Sp8_P7B_9_Jnzwxl2RiSW64TbSduoFDDuFr0JuXpo04SCYG2JpK7xEOPcr6A0n8R5z02ibxQVyG7-eRVci?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/SH/1408/SH_1408_20230213-143750_ver.png,https://card-search.naver.com/item?cardAdId=1408
디지로카 Edu,"학원, 유치원 최대 7% 캐시백",['기타'],"국내 3만원, 해외 3만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/dVRjM3XjU0HBDJqn6d4yUeZF19GstBEvmeqRbhm6cELCDXJLBM4cFn6NcSPCtSsIVgsQLZeU37o6hdGGV2GxawI8Jqnns3zSDFVAVOdbl1tKi6uJz0DsCeNk3kCuEUz-jg7bVnyn2sQ252ARYsDoXk5nIppLkd76oIFfL-jFek5IC0CX1NZWnTfT2oKHPsSsY_tyZUSCJBIdDnLxsD7bSXj3_G4gxSAfcWCZcWMSk0kC3nvt7u_JWYRg40t5xfEDYX58Z4-HssPdkMzhTEi3duN78wdaq6gEyy5bFM5mwfgT5JrHDLFRTRo5w4OmOJAX8_bP6GyQ82jQ26e1E0xcAiiSv9U816G3fhw7_Y9ogIV5xMkkdpdWYg8wElM1XXfhcm38jT5O0FOaszpun4l1CQ==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10387/LO_10387_20240702-103201_ver.png,https://card-search.naver.com/item?cardAdId=10387
카드의정석 EVERY DISCOUNT,국내외 가맹점 기본 0.8% 청구할인,['할인 및 적립'],"국내 1만2천원, 해외 1만2천원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/rgHgmIAXRniuygF8S1DKeDLm7GB50w2nQ9Sdgepg5Fj6IAXWbUFpeHOgc1uxkhQ6pEZ1W1QDvjV7bSM2ztkby4s5DOj0KBhlxXILpe40h87rVq_pmZ5oz49NanXQXysKgC97GqwnqbwDgIVTs-zY330TlLhf0RzTzQtZwZ5epD9m0_zbfKO5VPkIky3nlnZZBdO3t-1uE25UvnpBnhPmHzeTtjCaMwnv-Z7r6obr40uYXfOu3fCZUwKJzhoTouA4Gj7H_byusrGl_xqGInOBHVifqfoj1bk7w3vzVYqmlPpnMKjI1FjNvKlo40a7XRjCidcuezhU0C-ieMw5sI9aNyknLFp6-SImVVCqBbn-OcHsqoRBOkgeBD7fB9Z8FvCkLIGf3ht3XYUXGcNim2SKubzUrEkyc5wrwo59R3ksWdlj0iIVioYkhjOx0Ub_nSNY0mFcgQmol7Rfbi6yiqV9Fg==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/WR/10403/WR_10403_20240807-173452_ver.png,https://card-search.naver.com/item?cardAdId=10403
KB국민 톡톡Pay카드,간편결제(Pay) 청구할인 최대40%,['할인 및 적립'],"국내 2만원, 해외 2만원",신규 회원 최대 2만원 지급,정보 없음,https://tivan.naver.com/cac/0-vYNkLF3uQtOdfA0nBZS6IOduzN8Z5OpTy2zOjy5JD96P96wD88eWPUkKneFiiXrX0Y84FLbsI2PrKOrGzumYnn9NLlgFeRECLDfgyDP7m-tZFfJaVZk2Xi6DHHaWCA4bXWMui9USsXrNNdhZ1h8PeWNcDNURFffWV-JP8ZDokCpUtIxIDV9pMaO2BPXIKjdFEdCMEUimUxG5UCweWW_qqL-v9JOk1JdIsLhamxKE_zbYij4LAXMlqt7N8AtVjOZo8_FOzj2kf3ng49JColxHFnFr3926jHcJJBW48ALClLPqhgPd8PZaEqsIovTg7WUpDD0qmLZONH6NYZafdBKamNEwHHiuKDosAYAW8-pUB6Js6VijJheLET_HAKewe9?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/2332/KB_2332_20230215-134842_hor.png,https://card-search.naver.com/item?cardAdId=2332
롯데백화점 롯데카드,롯데백화점 15% 청구할인 서비스!,"['쇼핑', '할인 및 적립']","국내 1만원, 해외 1만5천원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/Lbe0sik0hwYYDKEZM69Gsj2J7m40YRZ43wTQL1Z4sDJCPp6GafzR39XciZ-BPpuyzAX08QVC02cKrQTEiOeNniQ9vRRNbtMRwKdG2SzS9WZ-rwyuVq7Pu52yHu_qQC82-yktj-yN4uJmvYz6cVgfR0gpYMCONeVE9e8ISBz6bhxkKYE3xd-hVhu5l8g4CgctzZSIz-lnpv8Byq6RRmi2-_urB8LsQzUP8UhU_cSn0BnJMthoJeU9cEgP77x1QnFGhdffyPUTgcof98reXtyg64bW4ioCwh_o6QEaBmsYId3LTULwlCf5ew1hWqtjN0BnBTXa2YnXnz5-XyNucA8swTCjwnObDjjMzxVj3-VENf_p2F8M3K76bIse2MumMhhtejdp2GpD0P4hJvGyMO2h_AyxnNPHwugj8oCoWIw8dI_0rXB5bumJFjyXfIb1_uwj?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/1684/LO_1684_20220915-160142_hor.png,https://card-search.naver.com/item?cardAdId=1684
카드의정석 SHOPPING+,온오프라인 쇼핑 10% 청구할인,"['쇼핑', '할인 및 적립']","국내 1만원, 해외 1만2천원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/-6RVjdayOB9fCTF6NvYeZ_j7BR_11zmA4ZXvRcNBLyot09VWx5QLZiGDzCGKgkpuZ6SxB-nrxyBm4gSlCkMctjd8NZpgwkjgOYwC6DR1Jl65yzzxzq3NhV9pVdPa9P5xlVdpRap9FQLcnGjjVuAwjua1ES5lu_LDI6O7nAEOG6UH6xFKnNSvOwOQ9RSvbpcAZi269MCO0wdlsmiGtaTFbZPl3-y94-_y5I6sLN5CtslQxkUaRagHQlht9mQHjKkInvVLLaXVaDtsm5o6wcUmuCbvWnSY3XZghAgUUS9lyUtDp6DjVzs7QC5BbYnw8joEnWrlQ9fd3A96fQuTpXt_z9tEnYBWOoYiYtLvQjNktxiszGXgpTXfJQDYk5X4xTK0U2ZJcx_Yy8INUir4-rCvIw68tga0uZPPyFQk4pXY9bQ9J2_cJIJNbabs53C0RQDu?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/WR/10345/WR_10345_20240402-145101_ver.png,https://card-search.naver.com/item?cardAdId=10345
현대카드Z family Edition2,쇼핑·학원·주유·관리비 10% 할인,"['주유', '쇼핑', '할인 및 적립']","국내 2만원, 해외 2만원",신규 회원 최대 2만원 지급,정보 없음,https://tivan.naver.com/cac/2kjJtxZDbyJIJC7oGhPW77hJzvtlOFqnPOtFN158RKfGj3T2jIUQf04EknVS_yIcTqON7zvMVo7u13PzlEwrEoc5A-IXqqNEueX2KOU5TRgnpYuQhXf_B2-PcflR29manVUhWCyrZmrQvf5jFjv9SLULGjzBAW8l6ggLjQo_kmQjg85Gh1dNmatw7JF_qia8lQGtOpC54HLb_olMSApwVIkBLNzER_NSemnd-WdEXR1AH9LyiXCnRAO-gwPBIZ0r89lXu16D0mqEz0EWJ8coGkE8sl5WNSw9ZWuauQnq3dBEAvLdo690CgSMEKNGeqJNVSl98EmQpj7UU-F-FaTRcchJgA1pENO3cmR0D63GlrQ=?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/HD/10337/HD_10337_20250212-112513_ver.png,https://card-search.naver.com/item?cardAdId=10337
KB국민 Easy all 티타늄카드,많이 쓴 영역 알아서 자동 캐시백!,['기타'],"국내 3만원, 해외 3만원",신규 회원 최대 3만원 지급,정보 없음,https://tivan.naver.com/cac/bltrOW5s3oSSpWF3dmTMEnPnACs7rQhwSEEBdPZGFyMTrsGbnibY8-ed8HSwgi9f1zx5qQdwJQSVT1bdzV2FVH4iIUckPwkKeEIYeEj778yYgGZlTEEUZtO-aOOXsYOZ4L2odT7UWGWj09XKJEdGqO3vebdJAukHbXxOLxkgB_xEfvsUFZKhcg-GGtW1or0hZMRJDuccL05A2UXDwUmy0PRBZH-HqxVjCd0aHSZVBjJ1Dbl-L7zb188OARe8d6csHk1Qfu8txLyZRfZbBRFesN4wjiWcNABikBFjqisaqCZPrwN1zLD3bFuC3RcYTM7fhqbFrsJnkCHNxZUqo85b_WLVuGZWWrbdESfyiecZ7HTxoDk8Sl8JO0QXVGe8XB1Z?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/KB/3717/KB_3717_20230308-152833_hor.png,https://card-search.naver.com/item?cardAdId=3717
LOCA LIKIT 1.2,국내외 모든 가맹점 1.2% 할인!,['할인 및 적립'],"국내 1만원, 해외 1만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/gFxcSL6rWVCIRg1Jp-83IDXEJ0caEfoT-r0RXl-mSWDvfK4m8I2L0NJMuyRl6R9-mpVcBoMhsoVpqmCUuwLPl2OTvSyYyVhbxalBlcqIAHgRpn_B8Ru91bMIm5F0BpbbZMHx0nDknWoFqN8nAFUjxi8UluX-F9zT_tlXG2S0DeNndEcS2kSlNRPQZFQPNUyUTw4cigENgfr0_cKsGUG-O24YCOfczGzbo1StY9o6i96UGwizsL9-8FxOQzIjMkndEdyLjuJMm8WSJ73w4jV9otpSu5cEywd3ePjR29wTlKUf3tpOc7zXtLk4yOSuNjdUE_-oCuN-GJ14pzaMgMZJe75LfJmcgGJZi-VXhZMkjL9D-QBroScSfypTlrOKm6BbF37C7fbCtX3tajHt4U7o8BmBJGoOx5DTQ9BKCZiOz25TZJ1xSMxfvlFx7pxroE-z?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10105/LO_10105_20211111-160041_ver.png,https://card-search.naver.com/item?cardAdId=10105
디지로카 Las Vegas,국내외 가맹점 최대 2% 할인!,['할인 및 적립'],"국내 2만원, 해외 2만원",신규 회원 최대 100% 지급,정보 없음,https://tivan.naver.com/cac/ZO2bOB3lwor8uJruLjgzb3Dx6UsrIJXIILx-U2dl1EQjtMCoBeLWswCYfAlFYje7NxUYd-HNJGQyfcxZuXr6VrfoKlc1r-ebdzxMR-1msvdu1xRfsWiY4dACRyMNBYeYHVLhA5_Z56z1VXp7XTWkvLAP8vFlag2ElobnNW3jjP42_IQHbA20Mju3KLTYZ-S78H9kGbSh7X7r9pvmJr1tIjDLK8AmXXng8pDe2d5Jg9UTbK8nptt-OXBjnL97DkCl6vE_PQkkBq-rRANZJk_pRmG3SK6NqwSY9QfWP7nPCK5oVgL1QtMzq4oRFkbeZAHGJOfpOI1NFsJCOPBe1A_tj7HY8Gh8Q1ixS52isUW5CJKi6gjNg2y97qQ_whll38ArBAibmg2S2xrtSG3y-xFogw==?ce=register,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10375/LO_10375_20240614-140841_ver.png,https://card-search.naver.com/item?cardAdId=10375
